ID,RecordedDate,PrimaryStatusAfterGraduation,BranchOfService,CareerMeetsExpectation,EmployingOrganization,JobTitle,State,City,Employer_Country,Compensation,Salary_range,Degree_required,Employment_offer,Employment_acceptance,Job_connection,Application_website,Other_job_connection,Graduate_School,Graduate_School_Location,Graduate_Degree_Country,Graduate_Program,Program_Type,Postgraduation_offer,CC_job_Rating,CC_Drop_in_Advising_CareerLab ,CC_Handshake_Jobs,CC_Interview_Preparation,CC_Oncampus_Interview,CC_Networking_Strategies,CC_Career_Major_Exploration,CC_Fairs_Career_Events,CC_Resume_Cover_Letter_Review,CC_Career_Assessments ,CC_Resume_Cover_Letter Review,Primary_Status_Matching_Expectations,CC_Workshops
30001,27Jan2020 16:08:00,Employed full time (on average 30 hours or more per week),,,Blackford Capital,Financial Analyst,Michigan,Grand Rapids,,Hourly,"$75,000 - $79,999",A college degree is required and the position is related to my field of study.,6+ months before graduation,6+ months before graduation,Personal Network,,,,,,,,Yes,,,,,,,,,,,,Strongly Agree,
30002,12Feb2020 13:18:00,Planning to continue education but not yet enrolled,,,,,,,,,,,,,,,,University of Montana,Montana,,Forensic Anthropology,Master's,No,,,Dissatisfied,,,,,,,,,Neutral,
30003,03Nov2017 10:41:27,Employed full time (on average 30 hours or more per week),,,JR Automation LLC,Mechanical Engineer,Michigan,Holland,,Hourly,"$50,000 - $54,999",A college degree is required and the position is related to my field of study.,6+ months before graduation,6+ months before graduation,Personal Network,,,,,,,,Yes,Satisfied,Satisfied,,Satisfied,Somewhat Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,,,Agree,Satisfied
30004,15Sep2016 13:29:38,Employed full time (on average 30 hours or more per week),,,DMC,Occupational therapist,Michigan,Detroit,,Hourly,"$55,000 - $59,999",A graduate degree is required and the position is related to my field of study.,0-3 months after graduation,0-3 months after graduation,Other,,Fieldwork,,,,,,Yes,,,,,,,,,,,,,
30005,31Jan2017 10:16:00,Employed full time (on average 30 hours or more per week),,Strongly Agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30006,13Jan2021 9:18:00,Employed full time (on average 30 hours or more per week),,,"Adhezion, Inc.",Sales Engineer,Michigan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30007,18Jul2019 5:39:09,Employed full time (on average 30 hours or more per week),,,Neumodx molecular,Reagent Manufacturing Specialist,Michigan,Ann Arbor,,Hourly,"$35,000 - $39,999",A college degree is required and the position is related to my field of study.,0-3 months after graduation,0-3 months after graduation,Other,,Aerotek recruiter,,,,,,No,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Agree,Satisfied
30008,06Jun2017 8:20:16,Employed full time (on average 30 hours or more per week),,,Michigan Public Health Institute,Legionellosis Epidemiologist,Michigan,Lansing,,Hourly,"$50,000 - $54,999",A graduate degree is required and the position is related to my field of study.,0-3 months before graduation,0-3 months after graduation,Other,,MPHI website,,,,,,No,,Dissatisfied,,,,Somewhat Satisfied,,,,,,,
30009,24Jun2020 16:54:00,Seeking employment,,,,,,,,,,,,,,,,,,,,,No,Dissatisfied,Dissatisfied,Somewhat Satisfied,,,,,Dissatisfied,Dissatisfied,,,Disagree,
30010,16Feb2020 22:19:00,Employed full time (on average 30 hours or more per week),,,Grand Health Partners,Registered Dietitian,Michigan,Grand Rapids,,Hourly,"$55,000 - $59,999",An undergraduate degree is required and the position is related to my field of study,0-3 months after graduation,0-3 months after graduation,Other,,GVSU Coordinated Program Internship,,,,,,Yes,,Somewhat Satisfied,Satisfied,Very Satisfied,Very Satisfied,,,,Very Satisfied,,,Strongly Agree,Very Satisfied
30011,31May2018 13:25:35,Not seeking employment or continuing education at this time,,,,,,,,,,,,,,,,,,,,,Yes,Satisfied,Satisfied,Satisfied,Very Satisfied,Satisfied,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Satisfied,Satisfied,Strongly Agree,Satisfied
30012,03Jun2020 16:16:00,Seeking employment,,,,,,,,,,,,,,,,,,,,,No,Somewhat Satisfied,Somewhat Satisfied,Somewhat Satisfied,Somewhat Satisfied,Somewhat Satisfied,Somewhat Satisfied,Somewhat Satisfied,Somewhat Satisfied,Somewhat Satisfied,Somewhat Satisfied,Satisfied,Strongly Disagree,Somewhat Satisfied
30013,08Jan2021 12:23:00,Employed full time (on average 30 hours or more per week),,,network 180,Supports Coordinator,Michigan,Grand Rapids,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30014,15Sep2016 12:20:31,Seeking employment,,Disagree,,,,,,,,,,,,,,,,,,,No,Somewhat Satisfied,,Satisfied,Satisfied,Satisfied,,,Dissatisfied,,,,,
30015,25Jan2018 15:11:50,Employed part time (on average less than 30 hours per week),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disagree,
30016,31May2018 22:33:51,Employed full time (on average 30 hours or more per week),,,Family Outreach Center,Social worker,Michigan,Grand Rapids,,Hourly,"$25,000 - $29,999",A college degree is required and the position is related to my field of study.,0-3 months after graduation,0-3 months after graduation,Personal Network,,,,,,,,No,Satisfied,Satisfied,Satisfied,Very Satisfied,,,Satisfied,,Satisfied,Satisfied,Satisfied,Agree,Satisfied
30017,06Jun2019 14:28:42,Employed part time (on average less than 30 hours per week),,,Local Restaurant,Cook,Michigan,Allegan,,Hourly,"Less than $20,000",Having a college degree made no difference to me obtaining this position.,0-3 months after graduation,0-3 months after graduation,Personal Network,,,,,,,,,Dissatisfied,Somewhat Satisfied,Somewhat Satisfied,Very Dissatisfied,Somewhat Satisfied,Very Dissatisfied,Somewhat Satisfied,Dissatisfied,Dissatisfied,Somewhat Satisfied,Somewhat Satisfied,Strongly Disagree,Somewhat Satisfied
30018,12Jul2018 21:13:00,Employed full time (on average 30 hours or more per week),,,Ford Credit,FCLDP,Tennessee,Nashville,,Hourly,"$50,000 - $54,999",A college degree is required and the position is related to my field of study.,6+ months before graduation,6+ months before graduation,Career Center On-line Recruiting System (LakerJobs),,,,,,,,No,Very Satisfied,Somewhat Satisfied,Very Satisfied,Somewhat Satisfied,Very Satisfied,Satisfied,Satisfied,Satisfied,Somewhat Satisfied,Satisfied,Somewhat Satisfied,Strongly Agree,Satisfied
30019,28Jan2020 18:49:00,Employed full time (on average 30 hours or more per week),,,Express Employment Professionals,Client Relationship Specialist,Michigan,Grand Rapids,,Hourly,"$55,000 - $59,999",A college degree is required but the position is not related to my field of study.,0-3 months after graduation,0-3 months after graduation,GVSU Faculty/Staff Recommendation,,,,,,,,Yes,Somewhat Satisfied,Satisfied,Satisfied,Satisfied,,,Dissatisfied,Very Satisfied,Very Satisfied,,,Strongly Agree,
30020,14Dec2018 6:35:03,Employed full time (on average 30 hours or more per week),,,Trane,Project Engineer,Michigan,Grand Rapids,,Hourly,"$65,000 - $69,999",A college degree is required and the position is related to my field of study.,0-3 months after graduation,0-3 months after graduation,GVSU Career & Internship Fair,,,,,,,,Yes,Satisfied,Satisfied,Satisfied,Satisfied,,Satisfied,,Very Satisfied,Satisfied,Satisfied,Satisfied,Strongly Agree,Satisfied
30021,19Jan2021 12:38:00,Employed full time (on average 30 hours or more per week),,,Lear Corporation,Buyer,Michigan,Southfield,,,,A college degree is required and the position is related to my field of study.,,,,,,,,,,,,,,,,,,,,,,,,
30022,07Feb2017 7:07:31,Employed full time (on average 30 hours or more per week),,Strongly Agree,Spectrum Health,Project Manager,Michigan,Grand Rapids,,Hourly,"$55,000 - $59,999",A college degree is required and the position is related to my field of study.,3-6 months before graduation,3-6 months before graduation,Career Fair,,,,,,,,No,Somewhat Satisfied,Somewhat Satisfied,Somewhat Satisfied,Somewhat Satisfied,Somewhat Satisfied,Somewhat Satisfied,Somewhat Satisfied,Somewhat Satisfied,Somewhat Satisfied,Somewhat Satisfied,Somewhat Satisfied,,
30023,02Feb2021 15:34:00,Employed full time (on average 30 hours or more per week),,,Chippewa Valley School,Long Term Substitute Teacher,Michigan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30024,27Jan2020 15:59:00,Employed full time (on average 30 hours or more per week),,,ChoiceOne Bank,Teller,Michigan,Coopersville,,Hourly,"Less than $20,000",Having a college degree made no difference to me obtaining this position.,3-6 months after graduation,3-6 months after graduation,Personal Network,,,,,,,,,Somewhat Satisfied,Satisfied,,,,,Somewhat Satisfied,,Satisfied,,,Agree,
30025,25Sep2020 6:28:00,Seeking employment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly Disagree,
30026,23Dec2020 10:58:00,Employed full time (on average 30 hours or more per week),,,Ford Credit,Development Program,Michigan,Dearborn,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30027,09Jul2020 16:16:00,"Enrolled in a program of continuing education (e.g., graduate, professional school, certificate program, additional coursework)",,,,,,,,,,,,,,,,Texas State University,Texas,,Education: Student Affairs in Higher Education,Master's,No,Satisfied,,,,,,,,Satisfied,Satisfied,,Strongly Agree,
30028,24Oct2017 12:41:08,"Enrolled in a program of continuing education (e.g., graduate, professional school, certificate program, additional coursework)",,,,,,,,,,,,,,,,Xavier University,Ohio,,Sport Administration,Master's,No,Somewhat Satisfied,Very Satisfied,,,,,Somewhat Satisfied,Somewhat Satisfied,,,Dissatisfied,Agree,
30029,29Jun2017 21:59:49,"Enrolled in a program of continuing education (e.g., graduate, professional school, certificate program, additional coursework)",,Agree,,,,,,,,,,,,,,Liberty University,Virginia,,Criminal justice,Master's,,Satisfied,,,,,,,Very Satisfied,,,,,
30030,06Jun2017 12:21:16,Employed full time (on average 30 hours or more per week),,,Mary Free Bed,Patient Services Coordinator,Michigan,Grand Rapids,,Hourly,"$35,000 - $39,999",An undergraduate degree is required and the position is related to my field of study,0-3 months after graduation,0-3 months after graduation,Other On-line Job Posting Systems (please specify),Mary Free Bed Website,,,,,,,No,Somewhat Satisfied,Satisfied,Satisfied,Satisfied,,Satisfied,,,,Very Satisfied,,,
